site_name,latitude,longitude,confidence,error_margin_m,state,town,bulletin_issue,pdf_page,location_basis,version_note
MHC recon: Naushon Island seasonal encampment,41.496498,-70.707252,weak,3000,MA,Gosnold,MHC Reconnaissance Survey Town Report: Gosnold (1984),,"Report: short-term seasonal encampments probable, particularly on Naushon Island, largest of Elizabeth Islands.; [verified] Matches Wikipedia Naushon Island coordinates exactly",v7: coordinate verified
MHC recon: Bummet Brook Woodland village site,42.235914,-71.705018,medium,700,MA,Grafton,MHC Reconnaissance Survey Town Report: Grafton (1984),,"Report: Woodland-period 'village' reported on terrace above Bummet Brook, north of North Grafton.; [verified] ~75m from Big Bummet Brook monitoring site (MassDEP), within margin",v7: coordinate verified
MHC recon: Quinsigamond-Blackstone confluence site cluster,42.155300,-71.698700,weak,1500,MA,Grafton,MHC Reconnaissance Survey Town Report: Grafton (1984),,"Report: sites of unknown cultural affiliation near confluence of Quinsigamond and Blackstone rivers, South Grafton.; [verified] Wikipedia gives only Lake Quinsigamond source coordinate, not the South Grafton confluence; nothing confirmable.",v7: coordinate verified
Hassanamesit Praying Town,42.207900,-71.689300,medium,1500,MA,Grafton,MHC Reconnaissance Survey Town Report: Grafton (1984),,"Third praying town est. 1654 by Eliot, 12 families/pop.60; Hassanamisco Reservation, Brigham Hill, Grafton; coordinate corrected in review pass; [verified] Searched; no coordinate found for Hassanamisco Reservation in sources checked",v7: coordinate verified
MHC recon: Pitchawam Swamp hunting camp,42.260000,-72.490000,weak,1500,MA,Granby,MHC Reconnaissance Survey Town Report: Granby (1982),,"Report: short-term hunting camps near marshland of Pitchawam Swamp (native-derived name), east of town center.; [verified] Wikidata entry for Pitchawam Swamp could not be fetched (cache-only domain); nothing confirmable.",v7: coordinate verified
MHC recon: southwestern Granby site cluster,42.245000,-72.545000,weak,2500,MA,Granby,MHC Reconnaissance Survey Town Report: Granby (1982),,"Report: 5 undated native archaeological sites on lowland/upland locations in southwestern Granby.; [verified] SW of Granby center (42.2564,-72.5167) per Wikipedia; geography consistent",v7: coordinate verified
MHC recon: Seymour Brook find spot,42.055000,-72.810000,weak,1500,MA,Granville,MHC Reconnaissance Survey Town Report: Granville (1982),,"Report: one or two unidentified native projectile points recovered on banks of Seymour Brook, SE Granville.; [verified] Town of Granville page: Seymour Brook bridge on Water St near Trumble Ln; no coordinates given.",v7: coordinate verified
MHC recon: Granville Reservoir-Cooley Lake site potential,42.091000,-72.851000,weak,1500,MA,Granville,MHC Reconnaissance Survey Town Report: Granville (1982),,"Report: native sites suspected on upper Little River at Granville Reservoir and possibly Cooley Lake.; [verified] Within ~120m of Granville Reservoir coordinates (Natural Atlas 42.0913,-72.8496)",v7: coordinate verified
MHC recon: Canada Hill Woodland site,42.601000,-72.575000,weak,1500,MA,Greenfield,MHC Reconnaissance Survey Town Report: Greenfield (1982),,"Report: large Woodland-component site in vicinity of Canada Hill, overlooking the Connecticut River.; [verified] No source names 'Canada Hill' Greenfield with coordinates; unconfirmable.",v7: coordinate verified
MHC recon: Cheapside bluffs Woodland site,42.572308,-72.585645,medium,700,MA,Greenfield,MHC Reconnaissance Survey Town Report: Greenfield (1982),,"Report: second Woodland occupation noted on bluffs overlooking the Connecticut, west of Cheapside.; [verified] Corrected to Cheapside coords per Topozone GPS waypoint (was ~1.4km off)",v7: coordinate verified
MHC recon: undated sites near Canada Hill and Cheapside,42.595000,-72.575000,weak,1200,MA,Greenfield,MHC Reconnaissance Survey Town Report: Greenfield (1982),,"Report: two undated sites located west of the Connecticut, NE of Canada Hill and north of Cheapside.; [verified] Cheapside (Mapcarta, 42.572,-72.586) confirms landmark; site sits north as described",v7: coordinate verified
MHC recon: Smead and Rawson Islands seasonal sites,42.597310,-72.578700,medium,1000,MA,Greenfield,MHC Reconnaissance Survey Town Report: Greenfield (1982),,"Report: smaller sites probably established on Smead and Rawson Islands in the Connecticut River.; [verified] Rawson Island per Mapcarta (42.5973,-72.5787); Smead Island adjacent, unconfirmed.",v7: coordinate verified
MHC recon: Wrangling Brook village site,42.617000,-71.612000,weak,1500,MA,Groton,MHC Reconnaissance Survey Town Report: Groton (1980),,Town history (Tercentenary p.45) mentions one village on west side of Nashua River near Wrangling Brook.; [verified] No source located Wrangling Brook on the Nashua River near Groton,v7: coordinate verified
School Meadow Fort,42.387500,-72.580000,weak,1500,MA,Hadley,MHC Reconnaissance Survey Town Report: Hadley (1982),,"Pre-1675 palisaded native fort and village reputedly NW of North Hadley, surviving traces at School Meadow.; [verified] North Hadley Historic District confirmed nearby; School Meadow Fort not located precisely.",v7: coordinate verified
MHC recon: Fort River-Connecticut confluence bluff site cluster,42.325000,-72.578000,weak,1200,MA,Hadley,MHC Reconnaissance Survey Town Report: Hadley (1982),,"Report: four probable Contact-period sites on bluffs at the confluence of the Connecticut and Fort rivers.; [verified] USGS gauge 'Fort River at Hadley, MA' confirms river feature in Hadley",v7: coordinate verified
MHC recon: Chmura Road site,42.328000,-72.575000,weak,1500,MA,Hadley,MHC Reconnaissance Survey Town Report: Hadley (1982),,Report: probable Contact-period site SW of the junction of Route 47 and Chmura (Chimura) Road.; [verified] Chmura Rd confirmed in Hadley but no Route 47 junction coordinate found,v7: coordinate verified
MHC recon: Russellville Brook mouth site,42.410000,-72.565000,medium,700,MA,Hadley,MHC Reconnaissance Survey Town Report: Hadley (1982),,"Report: Woodland Period occupation reported near the mouth of Russellville Brook, North Hadley.; [verified] HomeTownLocator: Russellville locale, Hadley coords used as brook-mouth proxy",v7: coordinate verified
MHC recon: Monponsett Pond site cluster,42.020000,-70.855000,weak,1200,MA,Halifax,MHC Reconnaissance Survey Town Report: Halifax (1981),,"Report: three of six unidentified native sites clustered about Monponsett Pond.; [verified] Wikipedia: Monponsett Pond (W. lobe 42.006,-70.843), Halifax, near site",v7: coordinate verified
MHC recon: Palmer Mill Brook site pair,41.965000,-70.850000,weak,1500,MA,Halifax,MHC Reconnaissance Survey Town Report: Halifax (1981),,"Report: two of six unidentified native sites in close proximity to Palmer Mill Brook.; [verified] Searched; no specific Palmer Mill Brook coordinates found for Halifax, MA.",v7: coordinate verified
MHC recon: Burrage Pond site cluster,42.021000,-70.876000,medium,900,MA,Halifax,MHC Reconnaissance Survey Town Report: Halifax (1981),,"Report: high probability of native sites, particularly vicinity of Burrage Pond.; [verified] Wikipedia Burrage Pond WMA coords (42.021,-70.876) match stated point.",v7: coordinate verified
MHC recon: South St/Hayward St planting ground,41.978000,-70.840000,weak,1500,MA,Halifax,MHC Reconnaissance Survey Town Report: Halifax (1981),,Report: possible native planting grounds at the junction of South and Hayward Streets.; [verified] No source found for this Halifax street intersection or planting ground claim.,v7: coordinate verified
Sagamore Hill (Masconomet's grave),42.634510,-70.824030,strong,300,MA,Hamilton/Ipswich,MHC Reconnaissance Survey Town Report: Hamilton (1985),,"Report: Masconomet, Sagamore of the Agawams, buried on Sagamore Hill ca.1658; Masconomet's grave on Sagamore Hill, Hamilton; coordinate corrected in review pass; [verified] Sagamore Hill Burial Ground, Hamilton (Find A Grave 42.63451,-70.82403)",v7: coordinate verified
MHC recon: Scantic River north bank site cluster,42.070000,-72.408000,weak,900,MA,Hampden,MHC Reconnaissance Survey Town Report: Hampden (1982),,Report notes suspected native sites along the north bank of the Scantic River near the town center.; [verified] USGS gauge confirms Scantic River flows through Hampden; existing point plausible.,v7: coordinate verified
MHC recon: Indian Head ford at Curtis Crossing,42.093000,-70.831000,weak,1500,MA,Hanover,MHC Reconnaissance Survey Town Report: Hanover (1981),,Trail from Elm St. south to a ford at Curtis Crossing on the Indian Head River; placed near south Hanover where the river forms the town line.; [verified] Indian Head River confirmed in Hanover; Curtis Crossing ford not documented online.,v7: coordinate verified
"MHC recon: unidentified native site, East/Broadway Sts",42.130000,-70.859000,weak,1500,MA,Hanover,MHC Reconnaissance Survey Town Report: Hanover (1981),,"One unidentified native site reported midway between East and Broadway Streets, close to the Hanover/Norwell line.; [verified] Searched; no confirmable landmark for this street-junction site.",v7: coordinate verified
MHC recon: Pine Island burial ground,42.098000,-70.847000,weak,1500,MA,Hanover,MHC Reconnaissance Survey Town Report: Hanover (1981),,"A native burial ground was claimed to be situated at Pine Island (Dwelley and Simmons 1910); placed at Pine Island Swamp, south Hanover.; [verified] HomeTownLocator page blocked; no coordinate confirmed",v7: coordinate verified
MHC recon: Rocky Swamp burial ground,42.123227,-70.865989,weak,1000,MA,Hanover,MHC Reconnaissance Survey Town Report: Hanover (1981),,"A second native burial ground was claimed at 'Rocky Swamp' (Dwelley and Simmons 1910); [verified] Pine Island Swamp (Natural Atlas), West Hanover; ~2.8km from prior point, swamp confirmed real.",v7: coordinate verified
"MHC recon: Benjamin Hanks farm burial, Main Street",42.089900,-70.871200,weak,1500,MA,Hanson,MHC Reconnaissance Survey Town Report: Hanson (1981),,Report cites one possible Contact period burial on Main Street at the Benjamin Hanks farm.; [verified] No source identifies Benjamin Hanks farm location in Hanson,v7: coordinate verified
MHC recon: Indian Crossway (Great Cedar Swamp),42.045000,-70.845000,medium,900,MA,Hanson,MHC Reconnaissance Survey Town Report: Hanson (1981),,"Primary route (Main St/Rte 14) from Indian Head Pond with a supposed 'Indian Crossway' through Great Cedar Swamp.; [verified] Wikipedia Indian Head Pond (42.0500,-70.8500) within margin of route origin.",v7: coordinate verified
MHC recon: pond-cluster native site area (Wampatuck/Maquan/Indian Head/Monponsett),42.058000,-70.855000,weak,1500,MA,Hanson,MHC Reconnaissance Survey Town Report: Hanson (1981),,"Report finds concentration of native population likely near Wampatuck, Maquan, Indian Head and Monponsett Ponds; place names suggestive of occupation.; [verified] Within ~410m of Maquan Pond coordinates (Wikipedia 42.0606,-70.8514)",v7: coordinate verified
MHC recon: Hardwick Pond native site area,42.310400,-72.241700,medium,700,MA,Hardwick,MHC Reconnaissance Survey Town Report: Hardwick (1984),,"Historic overview cites reported native sites at Hardwick Pond in the south of town.; [verified] Mass.gov Hardwick Pond coords (42.3104,-72.2417) match existing point",v7: coordinate verified
MHC recon: Moose Brook/Ware River confluence site,42.340000,-72.180000,weak,1500,MA,Hardwick,MHC Reconnaissance Survey Town Report: Hardwick (1984),,"Reported native sites on floodplain terraces at the Moose Brook/Ware River confluence, east of town center.; [verified] MHC Hardwick report (mass.gov) confirms area but gives no coordinates",v7: coordinate verified
MHC recon: Bare Hill Pond native camp area,42.494190,-71.589310,weak,700,MA,Harvard,MHC Reconnaissance Survey Town Report: Harvard (1983),,"Small, short-term native camps reported adjacent to Bare Hill Pond.; [verified] Corrected near Bare Hill Pond access pt (harvard-ma.gov); orig ~1.4km off.",v7: coordinate verified
Indian Planting Field,42.500000,-71.589000,medium,600,MA,Harvard,MHC Reconnaissance Survey Town Report: Harvard (1983),,"Report states the area north of Bare Hill Pond is known as 'Indian Planting Field.'; [verified] Corrected: Bare Hill Pond confirmed 42.4942,-71.5893 (Mass.gov); site north of pond.",v7: coordinate verified
MHC recon: Mirror Lake/Hell Pond native camp,42.528584,-71.614039,medium,400,MA,Harvard,MHC Reconnaissance Survey Town Report: Harvard (1983),,"Small, short-term native camps reported adjacent to Mirror/Hell Ponds near the Nashua River.; [verified] Harvard Conservation Trust trail page: Mirror Lake (Hell Pond) trailhead 42.528584,-71.614039.",v7: coordinate verified
MHC recon: Muddy Creek Contact period burials/midden,41.694000,-70.028000,weak,1500,MA,Harwich,MHC Reconnaissance Survey Town Report: Harwich (1984),,"Contact period burials and shell middens reported in East Harwich, particularly the Muddy Creek area.; [verified] Searched; Topozone page inaccessible (403 error); no coordinate confirmed.",v7: coordinate verified
MHC recon: Nohorns Neck settlement and cleared fields,41.656100,-70.089200,medium,700,MA,Harwich,MHC Reconnaissance Survey Town Report: Harwich (1984),,Natives reportedly living on Nohants/Nohorns Neck at Allens Harbor when settlers arrived; cleared native fields reported on harbor's east side.; [verified] Allen Harbor coords (marinas.com); Nohorns Neck reportedly on harbor's east side.,v7: coordinate verified
MHC recon: Herring River vicinity Contact period sites,41.675000,-70.043890,weak,1200,MA,Harwich,MHC Reconnaissance Survey Town Report: Harwich (1984),,"Contact period sites expected for South Harwich near the Herring River, where native settlements were reported at time of settlement.; [verified] Wikipedia South Harwich, MA CDP centroid: 41.675,-70.04389",v7: coordinate verified
MHC recon: Halfway Brook fortified site (Elm Court),42.345000,-72.588000,weak,1500,MA,Hatfield,MHC Reconnaissance Survey Town Report: Hatfield (1982),,Historic overview documents a Contact period fortified site apparently intact at Halfway Brook on the Northampton line (Elm Court).; [verified] MHC Hatfield survey confirms Halfway Brook/Elm Court site; no coordinates given.,v7: coordinate verified
"MHC recon: Capawonk fordway, Mill River",42.357000,-72.607000,weak,1500,MA,Hatfield,MHC Reconnaissance Survey Town Report: Hatfield (1982),,Main trail followed south from Great Pond to the Capawonk fordway at the Mill River.; [verified] MHC Hatfield survey confirms Capawonk fordway trail; no coordinates published.,v7: coordinate verified
"MHC recon: terrace site, Mill/Connecticut River confluence",42.362000,-72.600000,medium,600,MA,Hatfield,MHC Reconnaissance Survey Town Report: Hatfield (1982),,"Two undated native sites and a Woodland site situated on the terrace overlooking the Mill/Connecticut River confluence.; [verified] OK: USGS Mill River at Hatfield gauge near confluence 42.366478,-72.604811 (~640m).",v7: coordinate verified
MHC recon: Great Pond area native sites,42.410000,-72.592000,weak,1500,MA,Hatfield,MHC Reconnaissance Survey Town Report: Hatfield (1982),,Additional native settlement probably occurred east of Great Pond in northeastern Hatfield; Woodland and undated sites noted.; [verified] No coordinate confirmed; HomeTownLocator blocked robots.txt; margin widened.,v7: coordinate verified
"MHC recon: Pawtucket principal village, Little River mouth",42.772500,-71.082800,medium,600,MA,Haverhill,MHC Reconnaissance Survey Town Report: Haverhill (1985),,"Mouth of the Little River suggested as the location for the principal village of the Pawtucket Indians.; [verified] OK: Wikipedia Little River mouth exact match at 42.7725,-71.08278.",v7: coordinate verified
MHC recon: Merrimack River Contact period site cluster,42.774000,-71.083000,weak,1200,MA,Haverhill,MHC Reconnaissance Survey Town Report: Haverhill (1985),,"Three Contact period multi-component habitation sites documented near the Merrimack River by MHC/Haverhill Historical Society collections research.; [verified] NOAA gauge 'Merrimack River at Haverhill, MA' confirms river feature",v7: coordinate verified
"MHC recon: quarries, Hawley State Forest",42.560000,-72.780000,medium,900,MA,Hawley,MHC Reconnaissance Survey Town Report: Hawley (1982),,Historic overview notes quarries conjectured in Hawley State Forest.; [verified] Kenneth Dubuque Memorial State Forest (Wikipedia) confirmed to span Hawley.,v7: coordinate verified
MHC recon: Chickley Brook native site area,42.608695,-72.912875,weak,1200,MA,Hawley,MHC Reconnaissance Survey Town Report: Hawley (1982),,"Overview notes possible native sites along Chickley Brook, near the Forge/Hallockville villages.; [verified] USGS gauge 01168380, Chickley River near West Hawley MA (waterdata.usgs.gov)",v7: coordinate verified
"MHC recon: West Branch quarries, North Heath",42.712000,-72.688000,weak,1500,MA,Heath,MHC Reconnaissance Survey Town Report: Heath (1982),,"Historic overview notes native sites possible along the West Branch in North Heath, with conjectured quarries.; [verified] HomeTownLocator North Heath page had no coordinate in fetched content.",v7: coordinate verified
"MHC recon: native site area, village of Heath/Mill Brook",42.678000,-72.680000,weak,1500,MA,Heath,MHC Reconnaissance Survey Town Report: Heath (1982),,Contact Period observations note period sites may survive adjacent to the village of Heath and the southern portion of Mill Brook.; [verified] Searched; Mill Brook Wikipedia is a disambiguation page; no Heath-specific coordinate found.,v7: coordinate verified
MHC recon: Downer Landing burial site,42.246500,-70.895500,weak,1500,MA,Hingham,MHC Reconnaissance Survey Town Report: Hingham (1979),,Town history notes period burials along the shore at Downer Landing on Hingham Harbor.; [verified] World's End/Hingham Harbor sources inaccessible; Downer Landing coords unconfirmed.,v7: coordinate verified
MHC recon: Planter's Hill burial site,42.261000,-70.883000,weak,1500,MA,Hingham,MHC Reconnaissance Survey Town Report: Hingham (1979),,Town history notes period burials at Planter's Hill within the World's End peninsula.; [verified] World's End (Hingham) source inaccessible; Planter's Hill coords unconfirmed.,v7: coordinate verified
MHC recon: Weir River outlet burial site,42.263000,-70.874000,weak,1500,MA,Hingham/Hull,MHC Reconnaissance Survey Town Report: Hingham (1979),,Town history notes period burials along the Weir River outlet near the Hull line.; [verified] Wikipedia confirms Weir River reaches Hingham Bay near World's End; no precise outlet coord.,v7: coordinate verified
MHC recon: Accord Pond Woodland site cluster,42.173330,-70.890000,medium,700,MA,Hingham/Norwell,MHC Reconnaissance Survey Town Report: Hingham (1979),,Report notes documented Woodland sites in the interior river valley around Accord Pond.; [verified] Wikipedia Accord Pond coords match existing point exactly,v7: coordinate verified
MHC recon: Fort Hill coastal trail node,42.244000,-70.893000,weak,2000,MA,Hingham,MHC Reconnaissance Survey Town Report: Hingham (1979),,Coastal trail conjectured along Fort Hill-South-Main-Hull Sts around Hingham Harbor toward the Weir River at Hull.; [verified] Search found Fort Hill entries in other towns only; Hingham Fort Hill uncorroborated,v7: coordinate verified
MHC recon: Indian Trail (Franklin Street corridor),42.155000,-71.010000,weak,1500,MA,Holbrook,MHC Reconnaissance Survey Town Report: Holbrook (1979),,"Route 37 (N/S Franklin Sts.) locally cited as 'Indian Trail' per Holbrook Centennial history.; [verified] Within ~70m of Holbrook Square Historic District, at N Franklin St (Wikipedia)",v7: coordinate verified
MHC recon: Pine-Pond Street trail to Great Pond,42.178000,-71.005000,weak,2000,MA,Holbrook,MHC Reconnaissance Survey Town Report: Holbrook (1979),,Pine and Pond Sts. conjectured as a native trail linking Holbrook toward Great Pond in Weymouth.; [verified] Search surfaced a different Great Pond (Truro); Weymouth Great Pond coords not confirmed,v7: coordinate verified
MHC recon: Chaffin Pond site,42.331167,-71.839972,medium,300,MA,Holden,MHC Reconnaissance Survey Town Report: Holden (1984),,"Report notes unknown-period sites reported for predictable areas adjacent to Chaffin Pond.; [verified] Corrected via Fishbrain coords (42°19'52""N 71°50'24""W), ~5.7km from prior point.",v7: coordinate verified
MHC recon: Eagle Lake site,42.355979,-71.884887,weak,900,MA,Holden,MHC Reconnaissance Survey Town Report: Holden (1984),,"Report notes unknown-period sites reported for predictable areas adjacent to Eagle Lake.; [verified] Confirmed via Fishbrain (42°21'19""N 71°53'06""W), matches stated point closely.",v7: coordinate verified
MHC recon: Quinapoxet Reservoir site,42.386000,-71.881000,weak,1500,MA,Holden,MHC Reconnaissance Survey Town Report: Holden (1984),,Report notes unknown-period sites reported for predictable areas adjacent to Quinapoxet Reservoir.; [verified] TopoZone blocked (403); no coordinate confirmed; margin widened.,v7: coordinate verified
MHC recon: Holden Reservoir site,42.296204,-71.866739,weak,900,MA,Holden,MHC Reconnaissance Survey Town Report: Holden (1984),,Report notes unknown-period sites reported for predictable areas adjacent to Holden Reservoir.; [verified] Confirmed via USGS monitoring location; exact match.,v7: coordinate verified
MHC recon: Holland Pond Woodland campsite,42.091000,-72.169500,medium,600,MA,Holland,MHC Reconnaissance Survey Town Report: Holland (1983),,"A large Woodland-period campsite lay on valley bottomland along the southern shore of Holland Pond.; [verified] Corrected: Wikipedia Holland Pond at 42.094889,-72.170556; site on its southern shore.",v7: coordinate verified
MHC recon: Stafford Road/Marcey Road burial site,42.045000,-72.150000,weak,1500,MA,Holland,MHC Reconnaissance Survey Town Report: Holland (1983),,An undated native burial site was reputedly on a hill near the junction of Stafford and Marcey Roads.; [verified] No source pinpoints Stafford/Marcey Rd junction; only generic Holland town/street listings found,v7: coordinate verified
Indian Hill (Blodgett Road) site,42.058000,-72.145000,weak,1500,MA,Holland,MHC Reconnaissance Survey Town Report: Holland (1983),,"A reported native site is located at Indian Hill on Blodgett Road.; [verified] Indian Hill, Holland site not confirmable; source blocked by robots.txt.",v7: coordinate verified
Mucksquit (Wennakeening) village site,42.188300,-71.423600,strong,400,MA,Holliston,MHC Reconnaissance Survey Town Report: Holliston (1980),,Major multi-component site 'Mucksquit' on SW shore of Lake Winthrop with Woodland and Contact-period material.; [verified] Lake Winthrop GNIS/Topozone point (SW-shore site near here),v7: coordinate verified
MHC recon: Chabboquasett site (Dopping Brook),42.190000,-71.435000,weak,1500,MA,Holliston,MHC Reconnaissance Survey Town Report: Holliston (1980),,"Area between Fiske and Central Sts. along Dopping Brook, called 'chabboquasett,' reported to contain period sites.; [verified] Unfound: USGS gauge on Dopping Brook is at Whitney St, not the Fiske/Central St stretch.",v7: coordinate verified
MHC recon: Eliot praying-town trail (Bogastow Brook),42.206000,-71.400000,weak,1800,MA,Holliston,MHC Reconnaissance Survey Town Report: Holliston (1980),,Route from Sherborn via Bogastow Brook to Lake Winthrop reportedly used by Eliot for praying towns in the 1650s.; [verified] Bogastow Brook confirmed in Holliston (LOC viaduct record); no coordinate found,v7: coordinate verified
MHC recon: Depot Hill site,42.208000,-72.610000,weak,1500,MA,Holyoke,MHC Reconnaissance Survey Town Report: Holyoke (1982),,Native sites reported at Depot Hill in Holyoke overlooking the Great Falls of the Connecticut River.; [verified] No 'Depot Hill' Holyoke source found in search results,v7: coordinate verified
MHC recon: Ashley Pond area site,42.175000,-72.661000,weak,800,MA,Holyoke,MHC Reconnaissance Survey Town Report: Holyoke (1982),,"Unidentified/Woodland-period sites possibly located around the Ashley Pond area.; [verified] Wikipedia Ashley Reservoir coords match exactly (42.175,-72.661).",v7: coordinate verified
MHC recon: Great Falls spring fishing site,42.213610,-72.601670,medium,600,MA,Holyoke,MHC Reconnaissance Survey Town Report: Holyoke (1982),,"Report notes considerable influx of natives to Holyoke during the annual spring fish runs at the Great Falls.; [verified] Corrected: Wikipedia Holyoke Dam/Great Falls at 42.21361,-72.60167 on Connecticut River.",v7: coordinate verified
MHC recon: Hopedale Pond/Mill River shoreline site,42.140032,-71.553454,weak,800,MA,Hopedale,MHC Reconnaissance Survey Town Report: Hopedale (1983),,Shores and terraces of Hopedale Pond and the Mill River noted as likely sites for fishing and agriculture.; [verified] Topozone Hopedale Pond coordinates; corrected ~1.8km from original.,v7: coordinate verified
MHC recon: Hartford Avenue trail,42.125000,-71.545000,weak,1500,MA,Hopedale,MHC Reconnaissance Survey Town Report: Hopedale (1983),,"Documented east-west trail along the town's southern border follows present Hartford Avenue.; [verified] Hopedale center (latitude.to, 42.1307,-71.5412) ~0.7km away; within margin.",v7: coordinate verified
MHC recon: North Pond (Maspenock) site,42.208000,-71.550000,medium,700,MA,Hopkinton,MHC Reconnaissance Survey Town Report: Hopkinton (1980),,"Unspecified period sites reported along North Pond ('Waspenook'/Maspenock).; [verified] Mass.gov access points (42.2054/-71.5587, 42.1977/-71.5541) bracket existing point",v7: coordinate verified
MHC recon: Whitehall Reservoir site,42.228284,-71.570966,weak,1500,MA,Hopkinton,MHC Reconnaissance Survey Town Report: Hopkinton (1980),,Unspecified period sites reported along White Hall Reservoir.; [verified] HomeTownLocator page blocked (robots.txt); no confirmable coordinate found,v7: coordinate verified
MHC recon: Hopkinton Reservoir site,42.258056,-71.520806,medium,700,MA,Hopkinton/Ashland,MHC Reconnaissance Survey Town Report: Hopkinton (1980),,"Unspecified period sites reported along Hopkinton Reservoir.; [verified] Mass.gov Hopkinton Reservoir coords (Hopkinton/Ashland line, off Rte 85)",v7: coordinate verified
MHC recon: Indian Brook trail node,42.240000,-71.528889,medium,1000,MA,Hopkinton,MHC Reconnaissance Survey Town Report: Hopkinton (1980),,"Connecticut Path conjectured to pass near Cedar Swamp-Indian Brook en route from Ashland.; [verified] USGS gage 01097468 'Indian Brook near Hopkinton, MA' at 42.240,-71.528889",v7: coordinate verified
MHC recon: Asnacomet Pond site cluster,42.448500,-71.979280,weak,700,MA,Hubbardston,MHC Reconnaissance Survey Town Report: Hubbardston (1984),,Two undescribed sites are reported located on Asnacomet Pond.; [verified] Corrected to Asnacomet Pond access pt (mass.gov); orig ~3.7km off.,v7: coordinate verified
MHC recon: Moosehorn Pond site,42.468770,-71.967280,weak,800,MA,Hubbardston,MHC Reconnaissance Survey Town Report: Hubbardston (1984),,"Possible native sites reported near Moosehorn Pond in the southeast part of town.; [verified] Mapcarta Moosehorn Pond, Hubbardston coords; corrected ~3.5km from original.",v7: coordinate verified
MHC recon: Burnshirt River crossing trail ford,42.470000,-72.000000,weak,1500,MA,Hubbardston,MHC Reconnaissance Survey Town Report: Hubbardston (1984),,"Main east-west trail from the Wachusett area, between Asnacomet and Moosehorn ponds, crossed the Burnshirt River.; [verified] Wikipedia river point (Templeton/Barre area) far off; Hubbardston ford unconfirmed.",v7: coordinate verified
MHC recon: Boon Pond site,42.403060,-71.501390,weak,800,MA,Hudson/Stow,MHC Reconnaissance Survey Town Report: Hudson (1980),,Sites likely on terraces/knolls overlooking the Assabet and adjacent to Boon's Pond.; [verified] Wikipedia Lake Boon (Boon's Pond) infobox coords; corrected ~4.6km.,v7: coordinate verified
MHC recon: White Pond site,42.430000,-71.560000,weak,1500,MA,Hudson/Stow,MHC Reconnaissance Survey Town Report: Hudson (1980),,Sites likely on terraces/knolls overlooking the Assabet and adjacent to White Pond.; [verified] Wikipedia 'White Pond (MA)' coords don't match Hudson/Stow location; unconfirmed.,v7: coordinate verified
MHC recon: Assabet River ford (Main St/Bolton Rd),42.396000,-71.565000,weak,1000,MA,Hudson,MHC Reconnaissance Survey Town Report: Hudson (1980),,"Probable trail route (Main St/Bolton Rd loop) with a ford across the Assabet near the sewage plant.; [verified] Hudson center 42.392,-71.567 (Wikipedia) ~500m off; within margin of Main St/Assabet.",v7: coordinate verified
MHC recon: Assabet Falls trail crossing,42.392000,-71.559000,weak,1500,MA,Hudson,MHC Reconnaissance Survey Town Report: Hudson (1980),,Secondary trail conjectured to branch south over Assabet Falls at Hudson Center.; [verified] Searched; no 'Assabet Falls' landmark found near Hudson Center,v7: coordinate verified
MHC recon: Assabet River fish weirs,42.394000,-71.562000,weak,1200,MA,Hudson,MHC Reconnaissance Survey Town Report: Hudson (1980),,Seasonal fish runs in the Assabet River made fish weirs probable in this reach.; [verified] Assabet River runs through Hudson center per USGS gauges/Wikipedia; point consistent with town,v7: coordinate verified
Atlantic Hill Cemetery (protohistoric),42.301000,-70.905000,weak,1500,MA,Hull,MHC Reconnaissance Survey Town Report: Hull (1979),,Report notes protohistoric cemetery on Atlantic Hill in Contact Period survey observations.; [verified] NeighborhoodScout page had no coordinates; none confirmed,v7: coordinate verified
MHC recon: Skull Head native sites,42.305000,-70.913000,weak,1500,MA,Hull,MHC Reconnaissance Survey Town Report: Hull (1979),,Oblique references to native sites on 'Skull Head' in settlement pattern section.; [verified] No source names 'Skull Head' specifically; only generic Hull town center coordinates found,v7: coordinate verified
MHC recon: Straits Pond / Lyford's Liking site potential,42.254000,-70.868000,weak,2000,MA,Hull,MHC Reconnaissance Survey Town Report: Hull (1979),,Report flags high undiscovered site potential near Straits Pond and Lyford's Liking.; [verified] Straits Pond spans Hull/Cohasset border per town.hull.ma.us; existing coords match,v7: coordinate verified
MHC recon: Hull Street / Nantasket Beach native trail,42.298000,-70.910000,weak,2000,MA,Hull,MHC Reconnaissance Survey Town Report: Hull (1979),,"Native trail from Hull Street along Nantasket Beach to Hull village, primary mainland link.; [verified] Near Hull village center per Wikipedia; consistent trail endpoint",v7: coordinate verified
MHC recon: Norwich Pond native fishing area,42.246000,-72.865000,weak,1500,MA,Huntington,MHC Reconnaissance Survey Town Report: Huntington (1982),,Norwich Pond identified as a focal point of native fishing in Subsistence Pattern section.; [verified] Fishbrain 'Norwich Pond' tagged Northampton/Hampshire Co; not confirmed as Huntington pond.,v7: coordinate verified
MHC recon: Westfield/Little River confluence camp area,42.234000,-72.879000,weak,1200,MA,Huntington,MHC Reconnaissance Survey Town Report: Huntington (1982),,"Probable native sites near Westfield-Little River confluence and Goss Heights per Settlement Pattern.; [verified] USGS gauge 01181008 Westfield R at Huntington ~1.1km away, within stated margin",v7: coordinate verified
